"Fecha","Último","Apertura","Máximo","Mínimo","Vol.","% var."
"25.06.2023","9.593,00","9.283,10","9.642,30","9.198,70","634,15M","3,53%"
"18.06.2023","9.265,80","9.457,80","9.503,20","9.239,70","510,27M","-2,41%"
"11.06.2023","9.495,00","9.345,90","9.580,80","9.261,10","880,62M","1,99%"
"04.06.2023","9.309,70","9.352,00","9.427,60","9.242,30","492,11M","-0,08%"
"28.05.2023","9.317,30","9.263,10","9.324,80","9.034,90","814,73M","1,37%"
"21.05.2023","9.191,10","9.242,80","9.326,60","9.048,20","510,32M","-0,65%"
"14.05.2023","9.251,50","9.269,30","9.309,40","9.125,70","526,56M","0,19%"
"07.05.2023","9.234,10","9.162,20","9.276,90","9.118,00","544,21M","0,95%"
"30.04.2023","9.147,30","9.248,20","9.264,90","8.967,30","603,65M","-1,01%"
"23.04.2023","9.241,00","9.382,50","9.433,90","9.159,80","795,00M","-1,85%"
"16.04.2023","9.415,60","9.387,40","9.540,50","9.361,00","774,41M","0,56%"
"09.04.2023","9.362,90","9.352,50","9.378,40","9.227,10","547,63M","0,54%"
"02.04.2023","9.312,30","9.214,60","9.323,50","9.135,50","517,80M","0,86%"
"26.03.2023","9.232,50","8.897,60","9.254,50","8.839,80","800,62M","5,00%"
"19.03.2023","8.792,50","8.668,70","9.100,20","8.501,20","1,25B","0,84%"
"12.03.2023","8.719,30","9.272,30","9.273,60","8.655,30","1,95B","-6,09%"
"05.03.2023","9.285,00","9.498,80","9.528,30","9.182,70","824,81M","-1,89%"
"26.02.2023","9.464,20","9.252,00","9.472,20","9.246,10","962,01M","2,85%"
"19.02.2023","9.201,50","9.352,70","9.369,10","9.118,50","770,04M","-1,41%"
"12.02.2023","9.333,00","9.135,10","9.363,10","9.120,70","724,91M","2,36%"
"05.02.2023","9.117,40","9.175,50","9.296,30","9.069,60","797,01M","-1,17%"
"29.01.2023","9.225,60","9.045,80","9.281,40","8.994,00","1,29B","1,83%"
"22.01.2023","9.060,20","8.925,20","9.082,80","8.905,00","930,36M","1,59%"
"15.01.2023","8.918,20","8.896,80","8.988,90","8.726,70","898,81M","0,41%"
"08.01.2023","8.881,70","8.692,40","8.918,40","8.661,40","930,09M","2,08%"
"01.01.2023","8.701,10","8.297,90","8.701,10","8.283,70","808,22M","5,74%"
"25.12.2022","8.229,10","8.307,40","8.332,50","8.208,70","427,89M","-0,48%"
"18.12.2022","8.269,10","8.122,30","8.338,60","8.059,50","683,02M","1,93%"
"11.12.2022","8.112,50","8.260,50","8.415,70","8.079,80","1,09B","-2,13%"
"04.12.2022","8.289,20","8.372,80","8.395,70","8.194,90","607,55M","-1,11%"
"27.11.2022","8.382,60","8.380,70","8.469,00","8.282,80","952,84M","-0,40%"
"20.11.2022","8.416,60","8.102,90","8.425,50","8.100,50","798,98M","3,55%"
"13.11.2022","8.127,80","8.123,20","8.210,80","7.986,10","806,90M","0,37%"
"06.11.2022","8.098,10","7.910,50","8.178,70","7.893,20","893,78M","1,96%"
"30.10.2022","7.942,70","7.913,60","8.073,90","7.798,40","793,97M","0,33%"
"23.10.2022","7.916,50","7.612,20","7.944,30","7.570,00","893,93M","4,92%"
"16.10.2022","7.545,60","7.416,10","7.692,30","7.413,40","871,55M","2,21%"
"09.10.2022","7.382,50","7.389,50","7.503,40","7.189,60","764,16M","-0,73%"
"02.10.2022","7.436,90","7.327,50","7.699,90","7.288,50","737,06M","0,95%"
"25.09.2022","7.366,80","7.534,20","7.589,20","7.242,20","979,11M","-2,86%"
"18.09.2022","7.583,50","7.957,80","8.064,10","7.527,50","823,61M","-5,02%"
"11.09.2022","7.984,70","8.087,80","8.235,80","7.962,20","1,08B","-0,60%"
"04.09.2022","8.033,10","7.801,30","8.063,80","7.765,50","788,38M","1,27%"
