Opportunity ID,Created Date,Interest,Format,Start Date,Week,Year
0065J00000DPhy3,2023-05-06,WDFT,FT,2023-09-10,18,2023
0065J00000Bm2eK,2022-08-17,WDFT,FT,2022-10-17,33,2022
0065J00000Awp9h,2022-03-28,UXFT,FT,2022-04-07,13,2022
0065J00000E3jAL,2023-02-28,WDFT,FT,2023-10-04,9,2023
0065J00000Ax4i5,2022-11-04,WDPT,PT,2022-08-11,44,2022
0065J000009EeOp,2022-01-02,WDFT,FT,2022-05-30,52,2022
0065J00000Cc0wE,2022-11-17,WDPT,PT,2023-06-02,46,2022
0065J00000BRgkF,2022-06-17,WDPT,PT,2022-10-25,24,2022
0065J000009EMyX,2022-01-19,DAFT,FT,2022-11-04,3,2022
0065J00000BtPBN,2022-06-21,DAFT,FT,2022-03-10,25,2022
0065J00000DOpSv,2023-09-05,DAFT,FT,2023-09-10,36,2023
0065J000009FBrQ,2022-02-22,DAPT,PT,2022-05-04,8,2022
0065J000009FH7S,2022-02-26,CYPT,PT,2022-04-04,8,2022
0065J00000DPoPb,2023-06-13,DAFT,FT,2023-10-07,24,2023
0065J00000DOlSr,2023-03-05,UXFT,FT,2023-12-06,9,2023
0065J00000DPkjA,2023-08-06,DAFT,FT,2023-10-07,31,2023
0065J00000CdEcJ,2023-02-02,DAPT,PT,2023-03-21,5,2023
0065J00000BmneL,2022-06-10,DAPT,PT,2023-06-02,23,2022
0065J00000CbxrV,2022-11-15,WDPT,PT,2022-11-29,46,2022
0065J00000CcUqe,2022-12-21,DAFT,FT,2023-02-20,51,2022
0065J00000DOUuu,2023-04-14,WDFT,FT,2023-09-10,15,2023
0065J00000CclNH,2023-11-01,DAPT,PT,2023-02-05,44,2023
0065J00000AwsnC,2022-03-31,DAFT,FT,2022-05-30,13,2022
0065J000009DYLq,2021-05-12,WDFT,FT,2022-01-24,19,2021
0065J00000DObaC,2023-04-20,DAFT,FT,2023-10-07,16,2023
0065J00000DOy99,2023-05-22,DAPT,PT,2023-08-15,21,2023
